ano;sigla_uf;id_municipio;numero_obitos
1996;GO;5212907;9
1996;GO;5212956;5
1996;GO;5213004;29
1996;GO;5213053;8
1996;GO;5213087;117
1996;GO;5213103;169
1996;GO;5213400;6
1996;GO;5213509;24
1996;GO;5213707;32
1996;GO;5213756;25
1996;GO;5213772;1
1996;GO;5213806;209
1996;GO;5213855;2
1996;GO;5213905;26
1996;GO;5214002;39
1996;GO;5214051;11
1996;GO;5214101;15
1996;GO;5214408;34
1996;GO;5214507;98
1996;GO;5214606;149
1996;GO;5214705;6
1996;GO;5214804;10
1996;GO;5214838;20
1996;GO;5214861;27
1996;GO;5214879;4
1996;GO;5214903;5
1996;GO;5215009;43
1996;GO;5215207;22
1996;GO;5215256;10
1996;GO;5215306;73
1996;GO;5215405;24
1996;GO;5215504;23
1996;GO;5215603;76
1996;GO;5215652;16
1996;GO;5215702;92
1996;GO;5215801;21
1996;GO;5216007;14
1996;GO;5216304;59
1996;GO;5216403;52
1996;GO;5216452;4
1996;GO;5216809;64
1996;GO;5216908;14
1996;GO;5217104;130
1996;GO;5217203;77
1996;GO;5217302;57
1996;GO;5217401;118
1996;GO;5217609;248
1996;GO;5217708;114
1996;GO;5218003;162
1996;GO;5218102;13
1996;GO;5218300;89
1996;GO;5218391;4
1996;GO;5218508;207
1996;GO;5218607;48
1996;GO;5218706;25
1996;GO;5218789;5
1996;GO;5218805;580
1996;GO;5218904;78
1996;GO;5219001;11
1996;GO;5219100;25
1996;GO;5219209;15
1996;GO;5219258;10
1996;GO;5219308;153
1996;GO;5219357;16
1996;GO;5219407;15
1996;GO;5219506;17
1996;GO;5219605;28
1996;GO;5219704;46
1996;GO;5219712;9
1996;GO;5219738;4
1996;GO;5219753;307
1996;GO;5219803;32
1996;GO;5219902;24
1996;GO;5220009;19
1996;GO;5220058;5
1996;GO;5220108;137
1996;GO;5220157;12
1996;GO;5220207;90
1996;GO;5220264;7
1996;GO;5220405;78
1996;GO;5220454;124
1996;GO;5220504;22
1996;GO;5220603;91
1996;GO;5220686;13
1996;GO;5220702;7
1996;GO;5221007;24
1996;GO;5221080;6
1996;GO;5221197;12
1996;GO;5221304;10
1996;GO;5221403;341
1996;GO;5221452;6
1996;GO;5221502;32
1996;GO;5221551;10
1996;GO;5221577;4
1996;GO;5221601;214
1996;GO;5221700;59
1996;GO;5221809;20
1996;GO;5221908;16
1996;GO;5222005;54
1996;GO;5222054;23
1996;GO;5222203;8
1996;AM;1300000;70
1996;AM;1300029;3
1996;AM;1300086;2
1996;AM;1300102;4
1996;AM;1300144;16
1996;AM;1300201;20
1996;AM;1300300;30
1996;AM;1300409;19
1996;AM;1300508;4
1996;AM;1300607;2
1996;AM;1300631;13
1996;AM;1300680;4
1996;AM;1300706;57
1996;AM;1300839;1
1996;AM;1300904;28
1996;AM;1301001;93
1996;AM;1301100;15
1996;AM;1301159;3
1996;AM;1301209;52
1996;AM;1301308;60
1996;AM;1301407;23
1996;AM;1301506;27
1996;AM;1301605;2
1996;AM;1301654;15
1996;AM;1301704;15
1996;AM;1301803;10
1996;AM;1301852;30
1996;AM;1301902;155
1996;AM;1301951;18
1996;AM;1302009;10
1996;AM;1302207;2
1996;AM;1302306;5
1996;AM;1302405;112
1996;AM;1302504;138
1996;AM;1302553;3
1996;AM;1302603;6315
1996;AM;1302702;23
1996;AM;1302801;2
1996;AM;1302900;108
1996;AM;1303007;49
1996;AM;1303106;11
1996;AM;1303205;2
1996;AM;1303304;17
1996;AM;1303403;110
1996;AM;1303536;16
1996;AM;1303569;2
1996;AM;1303601;5
1996;AM;1303809;45
1996;AM;1303908;17
1996;AM;1303957;4
1996;AM;1304005;1
1996;AM;1304062;93
1996;AM;1304104;24
1996;AM;1304203;71
1996;AM;1304237;1
1996;AM;1304260;2
1996;AM;1304302;21
1996;AM;1304401;9
1996;AP;1600000;3
1996;AP;1600055;3
1996;AP;1600105;12
1996;AP;1600154;3
1996;AP;1600204;5
1996;AP;1600212;2
1996;AP;1600238;9
1996;AP;1600279;6
1996;AP;1600303;1190
1996;AP;1600402;17
1996;AP;1600501;8
1996;AP;1600535;16
1996;AP;1600550;1
1996;AP;1600600;316
1996;AP;1600709;2
1996;CE;2300000;390
1996;CE;2300101;14
1996;CE;2300150;44
1996;CE;2300200;207
1996;CE;2300309;237
1996;CE;2300408;23
1996;CE;2300507;25
1996;CE;2300606;17
1996;CE;2300705;48
1996;CE;2300754;93
1996;CE;2300804;34
1996;CE;2300903;40
1996;CE;2301000;89
1996;CE;2301109;291
1996;CE;2301208;28
1996;CE;2301257;20
1996;CE;2301307;21
1996;CE;2301406;4
1996;CE;2301505;22
1996;CE;2301604;41
1996;CE;2301703;73
1996;CE;2301802;37
1996;CE;2301851;79
1996;CE;2301901;194
1996;CE;2301950;16
1996;CE;2302008;51
1996;CE;2302057;46
1996;CE;2302107;128
1996;CE;2302206;40
